glyph_name,ps_name,sort_order
quotesinglbase,quotesinglbase,5067
quotedblleft,quotedblleft,5068
quotedblright,quotedblright,5069
quotedblbase,quotedblbase,5070
dagger,dagger,5071
daggerdbl,daggerdbl,5072
bullet,bullet,5073
ellipsis,ellipsis,5074
perthousand,perthousand,5075
guilsinglleft,guilsinglleft,5076
guilsinglright,guilsinglright,5077
fraction,fraction,5078
uni2060,uni2060,5079
Euro,Euro,5080
trademark,trademark,5081
minus,minus,5082
approxequal,approxequal,5083
ZWNBS,uniFEFF,8000
placeholder,placeholder,9000
